Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-14T22:15:00.000,2025-10-14T22:45:00.000,LONG,역추세,110400.00,110895.90,0.0453,19.70,0.45,1,30,BB Middle 도달 (평균회귀 완료),NO
2025-10-14T23:10:00.000,2025-10-15T00:05:00.000,SHORT,역추세,111616.50,111273.90,0.0449,12.63,0.31,1,55,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T00:40:00.000,2025-10-15T01:25:00.000,SHORT,역추세,112350.08,112682.80,0.0893,-35.24,-0.30,2,45,시장 조건 전환 (강세),YES
2025-10-15T03:10:00.000,2025-10-15T03:40:00.000,SHORT,역추세,113226.80,112796.30,0.0441,16.27,0.38,1,30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T04:40:00.000,2025-10-15T05:40:00.000,LONG,역추세,112067.40,112808.70,0.0009,0.63,0.66,1,60,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T07:00:00.000,2025-10-15T07:40:00.000,SHORT,역추세,113371.50,112896.90,0.0443,18.25,0.42,1,40,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T10:05:00.000,2025-10-15T10:55:00.000,LONG,역추세,112449.90,112677.90,0.0447,7.42,0.20,1,50,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T11:25:00.000,2025-10-15T11:55:00.000,SHORT,역추세,113516.90,112767.80,0.0079,5.43,0.66,1,30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T12:20:00.000,2025-10-15T13:45:00.000,LONG,역추세,112155.60,112296.40,0.0449,3.55,0.13,1,85,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T15:20:00.000,2025-10-15T15:40:00.000,LONG,역추세,111888.80,112265.70,0.0451,14.20,0.34,1,20,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T17:10:00.000,2025-10-15T17:30:00.000,SHORT,역추세,112850.00,113239.70,0.0447,-20.23,-0.35,1,20,시장 조건 전환 (강세),YES
2025-10-15T17:30:00.000,2025-10-15T18:15:00.000,LONG,추세추종,113239.70,112676.60,0.0445,-27.82,-0.50,1,45,손절 -0.50%,NO
2025-10-15T19:50:00.000,2025-10-15T20:05:00.000,LONG,역추세,112170.50,112459.00,0.0448,10.16,0.26,1,15,BB Middle 도달 (평균회귀 완료),NO
