Timestamp,Price,RSI,BB_Width,BB_Width_Change%,Consecutive_Outside,MACD_Histogram,MACD_Change,Volume_Ratio,Score,Risk
2025-10-21T00:50:00.000,4024.14,45.68,0.01,0.00,0,-0.43,-0.27,5.19,15,NONE
2025-10-21T00:55:00.000,4002.12,34.38,0.01,16.32,1,-1.99,-1.54,7.48,60,MEDIUM
2025-10-21T01:00:00.000,3964.56,23.83,0.02,79.63,1,-5.26,-3.25,34.75,60,MEDIUM
2025-10-21T01:05:00.000,3975.74,30.83,0.02,16.90,2,-6.29,-1.03,5.53,80,HIGH
2025-10-21T01:10:00.000,3973.08,30.19,0.02,13.23,1,-6.70,-0.45,3.27,50,MEDIUM
2025-10-21T01:15:00.000,3976.83,32.54,0.02,7.82,0,-6.28,0.35,3.22,50,MEDIUM
2025-10-21T01:20:00.000,3971.3,30.75,0.03,7.59,0,-5.99,0.26,1.81,45,LOW
2025-10-21T01:25:00.000,3962.91,28.30,0.03,7.03,0,-6.00,0.03,5.23,60,MEDIUM
2025-10-21T01:30:00.000,3945.52,24.25,0.03,9.51,0,-6.70,-0.68,6.69,60,MEDIUM
2025-10-21T01:35:00.000,3937.0,22.63,0.03,8.74,0,-7.23,-0.51,4.70,60,MEDIUM
2025-10-21T01:40:00.000,3935.64,22.46,0.03,5.46,0,-7.13,0.10,3.73,60,MEDIUM
2025-10-21T01:45:00.000,3932.63,21.97,0.04,2.07,0,-6.76,0.39,4.87,50,MEDIUM
